ranking,title,rating,num_review,price,address,neighbourhood,time,type_1,type_2,type_3
1,Upstate,4.5,1796,55,95 1st Ave,East Village,2019-10-27 21:33:31.827614,Seafood,Wine Bars,Beer Bar
2,Amélie,4.5,2595,55,22 W 8th St,Greenwich Village,2019-10-27 21:33:31.827614,French,Wine Bars,
3,LoveMama,4.5,4657,55,174 2nd Ave,East Village,2019-10-27 21:33:31.827614,Thai,Malaysian,Vietnamese
4,Thai Villa,4.5,2951,55,5 E 19th St,Flatiron,2019-10-27 21:33:31.827614,Thai,Asian Fusion,
5,Barn Joo 35,4.5,1776,55,34 W 35th St,Midtown West,2019-10-27 21:33:31.827614,Korean,Gastropubs,Tapas/Small Plates
6,Burger & Lobster,4.0,5304,55,39 W 19th St,Flatiron,2019-10-27 21:33:31.827614,Seafood,Burgers,American (New)
7,Ipanema Restaurant,4.0,1308,55,43 W 46th St,Midtown West,2019-10-27 21:33:31.827614,Brazilian,Portuguese,Steakhouses
8,Uglyduckling,4.0,463,55,166 Smith St,Cobble Hill,2019-10-27 21:33:31.827614,American (Traditional),Gastropubs,
9,Aunt Jake’s,4.0,1375,55,149 Mulberry St,Little Italy,2019-10-27 21:33:31.827614,Italian,Wine Bars,Pasta Shops
10,nonono,4.5,557,55,118 Madison Ave,Midtown East,2019-10-27 21:33:31.827614,Tapas/Small Plates,Izakaya,Ramen
11,Jajaja,4.5,832,55,162 E Broadway,Lower East Side,2019-10-27 21:33:31.827614,Mexican,Vegan,Bars
12,Ainslie,4.5,70,55,76 Ainslie St,Williamsburg - North Side,2019-10-27 21:33:31.827614,Beer Gardens,Venues & Event Spaces,Restaurants
13,Juanchi’s Burger,4.5,380,55,225 S 1st St,Williamsburg - South Side,2019-10-27 21:33:31.827614,Gastropubs,Burgers,
14,Juliana’s Pizza,4.5,2100,55,19 Old Fulton St,DUMBO,2019-10-27 21:33:31.827614,Pizza,,
15,Gelso & Grand,4.5,844,55,186 Grand St,Little Italy,2019-10-27 21:33:31.827614,Italian,Pasta Shops,Pizza
16,Chama Mama,4.5,160,55,149 W 14th St,Chelsea,2019-10-27 21:33:31.827614,Georgian,,
17,Joe’s Shanghai,4.0,5973,55,9 Pell St,Chinatown,2019-10-27 21:33:31.827614,Shanghainese,Seafood,
18,Salt + Charcoal,4.0,420,55,171 Grand St,Williamsburg - South Side,2019-10-27 21:33:31.827614,Japanese,Asian Fusion,Steakhouses
19,Atrium Dumbo,3.5,654,55,15 Main St,DUMBO,2019-10-27 21:33:31.827614,American (New),French,
20,Anytime,4.5,972,55,23 W 32nd St,Koreatown,2019-10-27 21:33:31.827614,Korean,American (New),Tapas/Small Plates
21,Boucherie West Village,4.5,1312,550,99 7th Ave S,West Village,2019-10-27 21:33:31.827614,French,Cocktail Bars,Steakhouses
22,Wok Wok,4.0,888,55,11 Mott St,Chinatown,2019-10-27 21:33:31.827614,Chinese,Malaysian,Thai
23,Up Thai,4.5,2148,55,1411 2nd Ave,Upper East Side,2019-10-27 21:33:31.827614,Thai,Asian Fusion,
24,Pig and Khao,4.0,1563,55,68 Clinton St,Lower East Side,2019-10-27 21:33:31.827614,Filipino,Thai,Asian Fusion
25,Jacob’s Pickles,4.0,3941,55,509 Amsterdam Ave,Upper West Side,2019-10-27 21:33:31.827614,Comfort Food,Southern,American (Traditional)
26,Paesano of Mulberry Street,4.0,807,55,136 Mulberry St,Little Italy,2019-10-27 21:33:31.827614,Italian,Salad,Seafood
27,Raku,4.5,981,55,342 E 6th St,East Village,2019-10-27 21:33:31.827614,Japanese,Noodles,
28,Tonkatsu Matsunoya,4.0,365,55,131 E 45th St,Midtown East,2019-10-27 21:33:31.827614,Japanese,,
29,Chow House,4.5,325,55,181 Bleecker St,Greenwich Village,2019-10-27 21:33:31.827614,Chinese,Noodles,Soup
30,Carmine’s Italian Restaurant - Times Square,4.0,3633,55,200 W 44th St,Theater District,2019-10-27 21:33:31.827614,Italian,Caterers,Venues & Event Spaces
